start,end,pitch
0.30000,0.60000,60
0.60000,0.90000,62
0.90000,1.20000,60
1.20000,1.50000,67
1.50000,2.40000,67
2.70000,3.00000,62
3.00000,3.30000,64
3.30000,3.60000,62
3.60000,4.80000,69
5.10000,5.40000,67
5.40000,5.70000,69
5.70000,6.00000,67
6.00000,6.30000,72
6.30000,6.90000,72
6.90000,7.20000,71
7.20000,7.50000,74
7.50000,7.80000,72
7.80000,8.10000,69
8.10000,8.70000,64
8.70000,9.00000,63
9.00000,9.60000,62
9.90000,10.20000,60
10.20000,10.50000,62
10.50000,10.80000,60
10.80000,11.10000,67
11.10000,12.00000,67
12.30000,12.60000,62
12.60000,12.90000,64
12.90000,13.20000,62
13.20000,13.50000,69
13.50000,14.10000,69
14.10000,14.40000,67
14.40000,18.00000,64
19.20000,22.80000,60
24.60000,24.90000,72
24.90000,25.20000,69
25.20000,25.50000,72
25.50000,26.40000,69
27.00000,27.30000,72
27.30000,27.60000,69
27.60000,27.90000,72
27.90000,28.80000,69
29.40000,29.70000,72
29.70000,30.00000,69
30.00000,30.30000,72
30.30000,31.20000,69
31.80000,32.10000,73
32.10000,32.40000,69
32.40000,32.70000,73
32.70000,33.60000,69
34.20000,34.80000,74
34.80000,35.40000,74
35.40000,36.00000,74
36.00000,36.60000,74
36.60000,37.20000,72
37.20000,37.80000,71
37.80000,38.40000,69
38.40000,39.60000,67
39.60000,40.80000,69
40.80000,42.00000,64
42.00000,43.20000,62
43.50000,43.80000,60
43.80000,44.10000,62
44.10000,44.40000,60
44.40000,44.70000,67
44.70000,45.60000,67
45.90000,46.20000,62
46.20000,46.50000,64
46.50000,46.80000,62
46.80000,48.00000,69
48.30000,48.60000,67
48.60000,48.90000,69
48.90000,49.20000,67
49.20000,49.50000,72
49.50000,50.10000,72
50.10000,50.40000,71
50.40000,50.70000,74
50.70000,51.00000,72
51.00000,51.30000,69
51.30000,51.90000,64
51.90000,52.20000,63
52.20000,52.80000,62
53.10000,53.40000,60
53.40000,53.70000,62
53.70000,54.00000,60
54.00000,54.30000,67
54.30000,55.20000,67
55.50000,55.80000,62
55.80000,56.10000,64
56.10000,56.40000,62
56.40000,56.70000,69
56.70000,57.30000,69
57.30000,57.60000,67
57.60000,61.20000,72
